stuFirstName,stuLastName,studentID,semester,courses1,grade1,courses2,grade2,courses3,grade3,courses4,grade4,courses5,grade5,courses6,grade6,GPA
Odelia,Yancey,589-90-9152,Spring 2020,CS 2302 - Digital Logic,A,CS 4303 - Programming Language Concepts,A,CS 4315 - Operating Systems,B,MATH 2401 - Calculus I,B,CS 2410 - CS II-Introduction to Data Structures and Algorithms,B,CS 1410 - CS I-Introduction to Computer Science with C++,B,
Margarethe,Sidle,390-80-3500,Spring 2020,CS 2301 - Introduction to Computer Organization,A,CS 4315 - Operating Systems,F,MATH 3302 - Probability and Statistics,F,CS 2410 - CS II-Introduction to Data Structures and Algorithms,A,MATH 2305 - Discrete Mathematical Structures,D,CS 3304 - Data and Information Structures,D,
Viki,Makey,543-32-7404,Spring 2020,MATH 2402 - Calculus II,B,CS 2301 - Introduction to Computer Organization,A,CS 4315 - Operating Systems,C,CS 2302 - Digital Logic,A,CS 4395 - Senior Project in Computer Science,C,MATH 2307 - Linear Algebra,C,
Redd,Costin,654-59-4150,Spring 2020,CS 3321 - Software Engineering,A,CS 4395 - Senior Project in Computer Science,D,CS 4303 - Programming Language Concepts,B,CS 4303 - Programming Language Concepts,A,CS 3306 - Introduction to Theory of Computation,C,CS 2301 - Introduction to Computer Organization,B,
Emmalyn,Velde,604-32-0737,Spring 2020,MATH 2402 - Calculus II,B,CS 4294 - Senior Seminar,D,CS 4315 - Operating Systems,C,CS 4303 - Programming Language Concepts,B,CS 1410 - CS I-Introduction to Computer Science with C++,F,CS 4395 - Senior Project in Computer Science,B,
Idette,Oloshin,380-97-2790,Spring 2020,CS 4395 - Senior Project in Computer Science,A,CS 4315 - Operating Systems,A,CS 1410 - CS I-Introduction to Computer Science with C++,B,CS 1410 - CS I-Introduction to Computer Science with C++,B,CS 4294 - Senior Seminar,F,CS 3321 - Software Engineering,A,
Deina,Matskiv,729-89-7961,Spring 2020,CS 4294 - Senior Seminar,A,STAT 3311 - Statistical Analysis for Natural Science,D,CS 2302 - Digital Logic,B,CS 2301 - Introduction to Computer Organization,A,CS 4318 - Database Systems,A,CS 3304 - Data and Information Structures,B,
Addie,Pirazzi,598-61-6918,Spring 2020,CS 4395 - Senior Project in Computer Science,D,CS 4315 - Operating Systems,A,CS 2302 - Digital Logic,B,MATH 3302 - Probability and Statistics,D,CS 2302 - Digital Logic,A,MATH 2307 - Linear Algebra,A,
Cherie,Gosneye,246-45-5166,Spring 2020,MATH 2307 - Linear Algebra,D,MATH 3302 - Probability and Statistics,B,STAT 3311 - Statistical Analysis for Natural Science,B,CS 1410 - CS I-Introduction to Computer Science with C++,A,CS 2302 - Digital Logic,C,CS 1410 - CS I-Introduction to Computer Science with C++,D,
Harper,Tonner,759-16-0943,Spring 2020,MATH 2305 - Discrete Mathematical Structures,A,MATH 3302 - Probability and Statistics,A,CS 4395 - Senior Project in Computer Science,B,MATH 3302 - Probability and Statistics,B,CS 2302 - Digital Logic,B,CS 4318 - Database Systems,D,
Aristotle,Reynish,842-77-0532,Spring 2020,CS 2301 - Introduction to Computer Organization,D,CS 4294 - Senior Seminar,D,MATH 3302 - Probability and Statistics,D,CS 4303 - Programming Language Concepts,B,CS 2301 - Introduction to Computer Organization,B,CS 3321 - Software Engineering,B,
Eachelle,Laxtonne,302-53-0490,Spring 2020,CS 4315 - Operating Systems,B,MATH 2305 - Discrete Mathematical Structures,A,CS 4294 - Senior Seminar,A,CS 2301 - Introduction to Computer Organization,B,MATH 2401 - Calculus I,A,CS 4395 - Senior Project in Computer Science,C,
Arlen,Kent,713-25-2304,Spring 2020,CS 4395 - Senior Project in Computer Science,A,CS 2410 - CS II-Introduction to Data Structures and Algorithms,B,CS 4395 - Senior Project in Computer Science,A,CS 2301 - Introduction to Computer Organization,A,CS 2410 - CS II-Introduction to Data Structures and Algorithms,C,CS 2410 - CS II-Introduction to Data Structures and Algorithms,B,
Siouxie,Larway,393-48-1368,Spring 2020,CS 4294 - Senior Seminar,A,STAT 3311 - Statistical Analysis for Natural Science,C,MATH 3302 - Probability and Statistics,A,CS 4395 - Senior Project in Computer Science,B,CS 3304 - Data and Information Structures,A,CS 3304 - Data and Information Structures,B,
Michel,Karby,437-94-3540,Spring 2020,STAT 3311 - Statistical Analysis for Natural Science,F,CS 4318 - Database Systems,B,CS 4318 - Database Systems,A,MATH 2402 - Calculus II,A,CS 4303 - Programming Language Concepts,A,MATH 2307 - Linear Algebra,D,
